Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem,IDCatAdicional1,IDCatAdicional2,IDCatAdicional3,IDCatAdicional4,IDCatAdicional5,GoogleProductCategory
"A","Produtos",8898566,"3595","ACABAMENTO DA COLUNA DO PARABRISA ESQUERDA - SINOTRUK HOWO 380",0.56,"ACABAMENTO DA COLUNA DO PARABRISA ESQUERDA - SINOTRUK HOWO 380","ACABAMENTO DA COLUNA DO PARABRISA ESQUERDA - SINOTRUK HOWO 380 - PN: WG1642111019","",False,2,0,True,0,0,788.32,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,30,100,5,"","WG1642111019","","","","","1179689",,,,,,0
"A","Produtos",8898565,"3596","ACABAMENTO DA GRADE LADO ESQUERDO - SINOTRUK HOWO 380",0.9,"ACABAMENTO DA GRADE LADO ESQUERDO - SINOTRUK HOWO 380","ACABAMENTO DA GRADE LADO ESQUERDO - SINOTRUK HOWO 380 - PN: WG1642111014","",False,1,0,True,0,0,252.59,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,40,40,12,"","WG1642111014","","","","","1179689",,,,,,0
"A","Produtos",8898567,"1701","AMORTECEDOR TRANSVERSAL/TRASEIRO CABINE - SINOTRUK",1.38,"AMORTECEDOR TRANSVERSAL/TRASEIRO CABINE - SINOTRUK","AMORTECEDOR TRANSVERSAL/TRASEIRO CABINE - SINOTRUK - PN: WG1642440021/1","",False,78,0,True,0,0,338.16,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,6,28,6,"","WG1642440021/1","","","","","1179689",,,,,,0
"A","Produtos",8898590,"8316","BARRA - XCMG ZL30G",1.02,"BARRA - XCMG ZL30G","BARRA - XCMG ZL30G - PN: 250200220","",False,1,0,True,0,0,83.99,0,0,0,,,False,False,"8316.png","8316.png","","","","","","","","",0,,,"",,0,0,,"","",0,0,"",False,False,3,45,3,"","250200220","","","","","1179693",,,,,,0
"A","Produtos",8898578,"3096","BICO INJETOR DO ARLA - WEICHAI D12 EURO V - AR",0.54,"BICO INJETOR DO ARLA - WEICHAI D12 EURO V - AR","BICO INJETOR DO ARLA - WEICHAI D12 EURO V - AR - PN: WG1034120001","",False,3,0,True,0,0,1250.1,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,4,17,8,"","WG1034120001","","","","","1179690",,,,,,0
"A","Produtos",8898577,"1674","BOIA DE COMBUSTÍVEL - SINOTRUK",0.86,"BOIA DE COMBUSTÍVEL - SINOTRUK","BOIA DE COMBUSTÍVEL - SINOTRUK - PN: WG9925550002","",False,89,0,True,0,0,406.6,0,0,0,,,False,False,"","","","","","","","","","",0,,,"",,0,0,,"","",0,0,"",False,False,12,73,10,"","WG9925550002","","","","","1179689",,,,,,0
"A","Produtos",8898570,"1814","BOTÃO DO VIDRO ELÉTRICO DIREITO - SINOTRUK A7",0.08,"BOTÃO DO VIDRO ELÉTRICO DIREITO - SINOTRUK A7 - SINOTRUK A7","BOTÃO DO VIDRO ELÉTRICO DIREITO - SINOTRUK A7 - PN: WG1664331062","",False,17,0,True,0,0,242.74,0,0,0,,,False,False,"","","","","","","","","","",0,,,"",,0,0,,"","",0,0,"",False,False,6.5,6.5,14,"","WG1664331062","","","","","1179689",,,,,,0
"A","Produtos",8898561,"1713","BUCHA DA BARRA ESTABILIZADORA DA CABINE - SINOTRUK HOWO 380",0.02,"BUCHA DA BARRA ESTABILIZADORA DA CABINE - SINOTRUK HOWO 380","BUCHA DA BARRA ESTABILIZADORA DA CABINE - SINOTRUK HOWO 380 - PN: AZ1642430263","",False,12,0,True,0,0,10.62,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,6,6,6,"","AZ1642430263","","","","","1179689",,,,,,0
"A","Produtos",8898560,"1617","BUCHA DA BARRA ESTABILIZADORA TRASEIRA - SINOTRUK",0.26,"BUCHA DA BARRA ESTABILIZADORA TRASEIRA - SINOTRUK","BUCHA DA BARRA ESTABILIZADORA TRASEIRA - SINOTRUK - PN: 199100680067","",False,44,0,True,0,0,22.95,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,8,8,8,"","199100680067","","","","","1179689",,,,,,0
"A","Produtos",8898558,"1622","CABO DE ALAVANCA DE MARCHA (3,40 M) - SINOTRUK",1.98,"CABO DE ALAVANCA DE MARCHA (3,40 M) - SINOTRUK","CABO DE ALAVANCA DE MARCHA (3,40 M) - SINOTRUK - PN: WG9725240204","",False,6,0,True,0,0,175.54,0,0,0,,,False,False,"","","","","","","","","","",0,,0,"",,0,0,,"","",0,0,"",False,False,70,70,5,"","WG9725240204","","","","","1179687",,,,,,0
